fold,f1,auc_pr,auc_roc,sensitivity,specificity
1,0.6800535475234271,0.9208179105772663,0.92128134,0.7277936962750716,0.9008947006194081
2,0.7382352941176471,0.943870699294218,0.9437859,0.7191977077363897,0.9449415003441156
3,0.7311028500619579,0.9336770939401832,0.93357146,0.8452722063037249,0.8877410468319559
4,0.7767253044654939,0.9525365664985357,0.9524438,0.8223495702005731,0.9290633608815427
5,0.7432098765432099,0.9450989446430968,0.94496083,0.8624641833810889,0.8898071625344353
